"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"21001","0","0","0","31299","31299","31299","0.203761089923887","0.15069006460229864","0.28914733139489557","41299.2","41298","41300","0.5140733504937135","0.10332069336482122","0.7274920831911761","41299.2","41298","41300"
"21251","0","0","0","31552","31552","31552","0.25985928216514276","0.1605827681966833","0.47229604966552585","41552.2","41551","41553","0.5025060247137654","0.2786242124430209","0.6969440096399057","41552.2","41551","41553"
"21501","0","0","0","31805","31805","31805","0.26957617933974937","0.17260236616565366","0.3924570802918135","41805.2","41804","41806","0.49771881493165593","0.1290080440745941","0.6523870286078679","41805.2","41804","41806"
"21751","0","0","0","32058","32058","32058","0.24958714769068918","0.17155557877709834","0.3289039992576467","42058.2","42057","42059","0.4831200110589203","0.1643076816766316","0.7030767852112967","42058.2","42057","42059"
"22001","0","0","0","32311","32311","32311","0.2531597092084415","0.12333029139398739","0.3660655731184011","42311.2","42310","42312","0.5042773946908456","0.40586692424769977","0.6823956780938003","42311.2","42310","42312"
"22251","0","0","0","32564","32564","32564","0.18964879094899653","0.10816103046253833","0.3068511539175952","42564.2","42563","42565","0.5691571486180054","0.34506885825643435","0.7551571498651171","42564.2","42563","42565"
"22501","0","0","0","32817","32817","32817","0.2191368472579714","0.1355576927656571","0.3414782148229807","42817.2","42816","42818","0.5063231660714335","0.19759542225891058","0.7065818155213145","42817.2","42816","42818"
"22751","0","0","0","33070","33070","33070","0.20755146071028419","0.10790234730103909","0.4098808693209299","43070.2","43069","43071","0.5473327551061696","0.4606237164290013","0.6347218724802287","43070.2","43069","43071"
"23001","0","0","0","33323","33323","33323","0.21412884398267668","0.10084172280546044","0.34087700334183246","43323.2","43322","43324","0.5580014841658997","0.30247395811293176","0.6947326909246354","43323.2","43322","43324"
"23251","0","0","0","33576","33576","33576","0.233824925369077","0.1562556451996726","0.3439215676688721","43576.2","43575","43577","0.5611936390061446","0.4108907583209908","0.7694494765490292","43576.2","43575","43577"
"23501","0","0","0","33829","33829","33829","0.26380382312188855","0.18075890598455868","0.4184167119570919","43829.2","43828","43830","0.5011212510354179","0.2091286351014447","0.6423057281221645","43829.2","43828","43830"
"23751","0","0","0","34082","34082","34082","0.22788728561017976","0.10458920773753995","0.3550188740605008","44082.2","44081","44083","0.47393916964588867","0.2862053785160409","0.683853176963792","44082.2","44081","44083"
