"stage2/step","Group: VaDE_Simple_gumbel - stage2/mcc_spearman","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_spearman","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"18751","0.46197194456548657","0.33499637917278907","0.5655267451795734","29022","29022","29022","0.7017843083521981","0.3785177059827534","0.7671656423641268","39023","39023","39023","0.7969572745297396","0.7283672300851537","0.8142282960978049","39023","39023","39023"
"19001","0.49893038411523377","0.3195131032311103","0.6138988190742959","29275","29275","29275","0.7043399906385858","0.38250848329146486","0.7720074163532272","39276","39276","39276","0.7977119633209518","0.7320640155909889","0.8153659533493554","39276","39276","39276"
"19251","0.4778299495275548","0.2977345765826145","0.6381151755386009","29528","29528","29528","0.7061157586520037","0.39473614994059814","0.7760605991120008","39529","39529","39529","0.7968410358013422","0.7296296766413338","0.8163776661738468","39529","39529","39529"
"19501","0.4320664737238583","0.27562417707128234","0.6057462174512532","29781","29781","29781","0.7071533985639215","0.38775036800223234","0.7727005331041369","39782","39782","39782","0.7977816873089011","0.7341896381343639","0.8143812623309069","39782","39782","39782"
"19751","0.4607999226680281","0.24373418560112528","0.5883906444854613","30034","30034","30034","0.7100691758050667","0.401600072122795","0.7749381703826953","40035","40035","40035","0.7976384592283039","0.7334647200965035","0.8124657742779359","40035","40035","40035"
"20001","0.46732952880992984","0.3489343237069041","0.6143713225510443","30287","30287","30287","0.7134803968639868","0.4099541215423075","0.7795932871383343","40288","40288","40288","0.7976797851311039","0.7373167892926501","0.8142404790089547","40288","40288","40288"
"20251","0.4689184779688203","0.2582604704610187","0.6629094343598078","30540","30540","30540","0.715246718426915","0.41879641542541357","0.7778697396741151","40541","40541","40541","0.799549332508162","0.7414504579401618","0.8156405458271697","40541","40541","40541"
"20501","0.48689252968873553","0.36602687060681155","0.6781904683790995","30793","30793","30793","0.7159076206237744","0.437509239314054","0.7767647952497846","40794","40794","40794","0.7980567913624292","0.7392486552489946","0.8136236754652973","40794","40794","40794"
"20751","0.48465326090466965","0.22799998834722324","0.633430541971038","31046","31046","31046","0.7185813060092093","0.44694255819173656","0.779429033207284","41047","41047","41047","0.798687938476608","0.7468282956598452","0.8169351256542591","41047","41047","41047"
"21001","0.44758721644826255","0.27050921426912494","0.6405041179895573","31299","31299","31299","0.719906832601205","0.45370737551433304","0.7815556662281361","41300","41300","41300","0.799011395439871","0.7431987884902206","0.8145194229921224","41300","41300","41300"
