"stage2/step","Group: VaDE_Simple_cauchy - stage2/mcc_spearman","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"14501","0","0","0","24721","24721","24721","0.42721236375785976","0.2414984886119634","0.5655621625957378","34722","34722","34722","0.6859922481556924","0.6027156095226055","0.759085480806303","34722","34722","34722"
"14751","0","0","0","24974","24974","24974","0.39770951814015076","0.24440770993272742","0.5438890464329199","34975","34975","34975","0.6882770600273932","0.6081106931717507","0.7632376101900357","34975","34975","34975"
"15001","0","0","0","25227","25227","25227","0.43146782256796046","0.25670440158125013","0.5565885209814833","35228","35228","35228","0.6896023082303793","0.6151047905516954","0.7573157667818732","35228","35228","35228"
"15251","0","0","0","25480","25480","25480","0.4314400731642568","0.2672831617835538","0.58647292298718","35481","35481","35481","0.6903646135508762","0.6160309998417867","0.7641285823118258","35481","35481","35481"
"15501","0","0","0","25733","25733","25733","0.44497764452450195","0.2755682774858783","0.5618933699171565","35734","35734","35734","0.6905706984278106","0.6176849346590401","0.759399060816288","35734","35734","35734"
"15751","0","0","0","25986","25986","25986","0.42900603409141896","0.27474695498264373","0.5882781292865301","35987","35987","35987","0.6909717213735427","0.6231511956791713","0.7583674676966446","35987","35987","35987"
"16001","0","0","0","26239","26239","26239","0.44114313521887427","0.2839254557644288","0.57038087150693","36240","36240","36240","0.6897550521463283","0.6299046912160483","0.7604977201906858","36240","36240","36240"
"16251","0","0","0","26492","26492","26492","0.4890232009076098","0.2521969740624089","0.5901947343676534","36493","36493","36493","0.687876564722546","0.617144271716963","0.7589124345485806","36493","36493","36493"
"16501","0","0","0","26745","26745","26745","0.45785078437345766","0.27783975759813023","0.5699757988340853","36746","36746","36746","0.6854219664917987","0.603847233566632","0.7602860512358102","36746","36746","36746"
"16751","0","0","0","26998","26998","26998","0.41739317243073043","0.2745682698632192","0.5490528428685698","36999","36999","36999","0.6821252946374075","0.6065063327038492","0.7577310910323715","36999","36999","36999"
"17001","0","0","0","27251","27251","27251","0.4230968051902126","0.2593982152937883","0.5640627198758325","37252","37252","37252","0.6804404492659073","0.6090648881929086","0.7529698635830355","37252","37252","37252"
"17251","0","0","0","27504","27504","27504","0.410895368674786","0.2981574545035146","0.5147574150696003","37505","37505","37505","0.6833937963091572","0.6088437135911016","0.7597247223226415","37505","37505","37505"
"17501","0","0","0","27757","27757","27757","0.44389107185359683","0.30854771950378673","0.5287576437874367","37758","37758","37758","0.6835324083607339","0.6115167782339629","0.7599797319843913","37758","37758","37758"
"17751","0","0","0","28010","28010","28010","0.4197061962290773","0.2442876188434762","0.5540449088742915","38011","38011","38011","0.6852667399581","0.6115717019307458","0.7577287944116672","38011","38011","38011"
"18001","0","0","0","28263","28263","28263","0.43644962873577137","0.30864581381795125","0.5505381642430528","38264","38264","38264","0.6864015652383018","0.6124038305049765","0.7572880527812904","38264","38264","38264"
"18251","0","0","0","28516","28516","28516","0.4413690652820342","0.2148437908080444","0.5849643186693896","38517","38517","38517","0.6873201501672602","0.6132325918469931","0.7569333459646298","38517","38517","38517"
"18501","0","0","0","28769","28769","28769","0.4028774525005976","0.24060676975541742","0.5670887766685787","38770","38770","38770","0.6878839143273755","0.6146991406208445","0.7610241360975843","38770","38770","38770"
"18751","0","0","0","29022","29022","29022","0.4401818702327576","0.30785496878562063","0.5331498599029304","39023","39023","39023","0.6888848612405114","0.6175836874439449","0.7610622436152918","39023","39023","39023"
"19001","0","0","0","29275","29275","29275","0.4482174617808951","0.3154858228213873","0.5790342817439669","39276","39276","39276","0.6869408388014653","0.6217484765422591","0.7594275364064497","39276","39276","39276"
"19251","0","0","0","29528","29528","29528","0.4482276778132305","0.30743697970774897","0.6027298185566964","39529","39529","39529","0.6896276493948743","0.6222709050765339","0.7589504279717071","39529","39529","39529"
"19501","0","0","0","29781","29781","29781","0.4449857406570593","0.22771381457110085","0.6051219349396059","39782","39782","39782","0.6910930240958282","0.629642951933108","0.759925473403667","39782","39782","39782"
"19751","0","0","0","30034","30034","30034","0.45660013596134397","0.34544039456790315","0.5585893288338925","40035","40035","40035","0.6908323050100128","0.6263122150564445","0.7560216109507881","40035","40035","40035"
"20001","0","0","0","30287","30287","30287","0.4083354486990548","0.2368034504882591","0.5294089597672581","40288","40288","40288","0.6947797006868203","0.6273283950760057","0.7601735149929482","40288","40288","40288"
"20251","0","0","0","30540","30540","30540","0.45057195985659976","0.274684872088222","0.5490051342481702","40541","40541","40541","0.6955872016764548","0.6274035999743847","0.7558895344154123","40541","40541","40541"
"20501","0","0","0","30793","30793","30793","0.4271216391179056","0.242227999581461","0.5666614974242362","40794","40794","40794","0.695590425528959","0.6248656329770358","0.7555904046245564","40794","40794","40794"
"20751","0","0","0","31046","31046","31046","0.40443941699339536","0.2943415710110376","0.5838487435180798","41047","41047","41047","0.6958521593691077","0.6299632360982592","0.7559963272410788","41047","41047","41047"
"21001","0","0","0","31299","31299","31299","0.44037349296191425","0.28994634406993747","0.5812434626341676","41300","41300","41300","0.698135168992082","0.6282415277937711","0.758824157322179","41300","41300","41300"
"21251","0","0","0","31552","31552","31552","0.4203668347483103","0.26380506829395295","0.546484011420009","41553","41553","41553","0.6979254992489967","0.624875148982425","0.7595377454952978","41553","41553","41553"
