"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_spearman","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"16251","0.2250084428582919","0.1534871763657864","0.2634124111924111","26492","26492","26492","0.5487061862847324","0.5064592319063418","0.5887969034418898","36492.4","36491","36493","0.7724303162361166","0.617734350870896","0.8362715954471358","36492.2","36491","36493"
"16501","0.22763392231868607","0.18785067296038174","0.2746630489379435","26745","26745","26745","0.5506186610809228","0.5095707903194049","0.5950275764034636","36745.4","36744","36746","0.7728759507432582","0.6190988625395651","0.8347207490229561","36745.2","36744","36746"
"16751","0.22354065399778222","0.1714735193540423","0.28034441796672255","26998","26998","26998","0.5574229165109715","0.5130828488305126","0.5993262942450842","36998.4","36997","36999","0.7747432699037076","0.6158136677018822","0.8314680142894344","36998.2","36997","36999"
"17001","0.22260296568144294","0.14571701081601388","0.2919137178724017","27251","27251","27251","0.5627894372905503","0.5198027229505429","0.6194234567356837","37251.4","37250","37252","0.7756348975410379","0.6169863283820414","0.8363107733027112","37251.2","37250","37252"
"17251","0.21601264163646472","0.15557247940637203","0.26331416256894796","27504","27504","27504","0.5669199862764349","0.5219490241870183","0.6256099759752942","37504.4","37503","37505","0.7770455637956345","0.6176234916676724","0.8345092028206134","37504.2","37503","37505"
"17501","0.21292858603539697","0.172523613506644","0.2588074745983532","27757","27757","27757","0.5696648522814433","0.5239920265677384","0.6302416181106434","37757.4","37756","37758","0.7774238930560984","0.6180076187614836","0.8324491835550333","37757.2","37756","37758"
"17751","0.21645292062304705","0.15838548110434575","0.2904911749400525","28010","28010","28010","0.5756661898847806","0.5304220121179617","0.6384650064032152","38010.4","38009","38011","0.7812040289420736","0.6273620619332796","0.8359758206780871","38010.2","38009","38011"
"18001","0.1991001330073599","0.14287316219653975","0.24805868193096683","28263","28263","28263","0.5752139508142233","0.5282778001397805","0.657851512071858","38263.4","38262","38264","0.7798685989948128","0.6220552634622547","0.8359208554664486","38263.2","38262","38264"
"18251","0.20155159018580018","0.1400917511840674","0.2626407161218715","28516","28516","28516","0.5672922674545517","0.5222782675815872","0.6203384128645427","38516.4","38515","38517","0.7807532262887151","0.6216022713673521","0.8369123522955672","38516.2","38515","38517"
"18501","0.20256765505890129","0.1566722419742556","0.25703791647191404","28769","28769","28769","0.5733727070794893","0.529255393268212","0.6282098261676767","38769.4","38768","38770","0.7842795142458778","0.6251667948733717","0.8377692513793471","38769.2","38768","38770"
"18751","0.19154259992786835","0.11458763728437646","0.28183141584796656","29022","29022","29022","0.5740699856200632","0.5201350273147868","0.6278576115984331","39022.4","39021","39023","0.7851584011665187","0.6293424027365099","0.8384809234745928","39022.2","39021","39023"
"19001","0.19970495055842089","0.14814261375360682","0.2654622231854429","29275","29275","29275","0.5792350827886091","0.5196358048530515","0.6374912869517935","39275.4","39274","39276","0.7872084086474688","0.6281269583057912","0.8381720820490163","39275.2","39274","39276"
"19251","0.1935015461409148","0.1357685646723636","0.2710088570153767","29528","29528","29528","0.5828071953737937","0.5131622935937673","0.6420512257398241","39528.4","39527","39529","0.7868542126356874","0.6258760676845909","0.8392792363534406","39528.2","39527","39529"
"19501","0.17904611551815802","0.13098588869278527","0.2448434816652468","29781","29781","29781","0.5878723405620729","0.5250888018506672","0.64606527243406","39781.4","39780","39782","0.7879183345425588","0.6282858904256482","0.8387387599518125","39781.2","39780","39782"
"19751","0.18662331256685777","0.12514911225380154","0.2465075540668757","30034","30034","30034","0.5923953143081099","0.5202163457521864","0.6575533021938561","40034.4","40033","40035","0.7890322349356217","0.6299281780929958","0.8397550602039384","40034.2","40033","40035"
"20001","0.17753367213080176","0.1315412366934247","0.25497520273794716","30287","30287","30287","0.594774926326968","0.5140937473546687","0.656821606463881","40287.4","40286","40288","0.7903295733538879","0.6330084673087655","0.8419573248792187","40287.2","40286","40288"
"20251","0.17978711137595108","0.12690092339571765","0.24707967492476976","30540","30540","30540","0.596641143942038","0.5121282099579914","0.6645267661452368","40540.4","40539","40541","0.7916676215419931","0.6364442684798806","0.842365124711205","40540.2","40539","40541"
"20501","0.18259313218432888","0.12676500750912337","0.2502204592768915","30793","30793","30793","0.6018428064960977","0.5121015206759312","0.6702006546054969","40793.4","40792","40794","0.7922824163021877","0.6318592145602354","0.8422959405717212","40793.2","40792","40794"
"20751","0.18019273803923277","0.1106489498269031","0.2464805880379648","31046","31046","31046","0.6079561136729908","0.5173260101077372","0.6726222452145356","41046.4","41045","41047","0.7935222239390044","0.6287936615659366","0.8426475314365653","41046.2","41045","41047"
"21001","0.16394639519173163","0.11656996742201411","0.23651544326068766","31299","31299","31299","0.6106813786116823","0.5114107104660628","0.6807255065944509","41299.4","41298","41300","0.79476784643088","0.6339697788704266","0.8457050801985215","41299.2","41298","41300"
"21251","0.16285400691575566","0.10550859542461213","0.22765887121649123","31552","31552","31552","0.6168770364555352","0.5145571499845152","0.6894265969625726","41552.4","41551","41553","0.795745208865638","0.6343723709031232","0.8453790431282913","41552.2","41551","41553"
"21501","0.16993502534074462","0.12974878033318346","0.2694338346055465","31805","31805","31805","0.6188314616307797","0.5147343212625067","0.6899138821911823","41805.4","41804","41806","0.7952941496119246","0.6361420005905084","0.8445100088257957","41805.2","41804","41806"
"21751","0.160832883411395","0.10460718066949522","0.23250620710301848","32058","32058","32058","0.6217106926019145","0.5079511061198205","0.6941318748091487","42058.4","42057","42059","0.797534849973341","0.6323792501003421","0.8481088715765857","42058.2","42057","42059"
"22001","0.1636674573337263","0.1036475481331945","0.23923841699256948","32311","32311","32311","0.6142898075417275","0.5207212910398226","0.6999801299282453","42311.4","42310","42312","0.7968366549899398","0.6302434932976443","0.848164455859625","42311.2","42310","42312"
"22251","0.1583749472886169","0.1148378158732378","0.23055897056176775","32564","32564","32564","0.6165311401957502","0.5136988908433248","0.6991974170877311","42564.4","42563","42565","0.7978929153142231","0.6342289028585346","0.8481061642912284","42564.2","42563","42565"
"22501","0.1632983022138927","0.11161099178873402","0.25861146546969166","32817","32817","32817","0.6185617786900067","0.5171642666762141","0.7055179340201877","42817.4","42816","42818","0.7984004752452308","0.6346409435408507","0.8478158874110304","42817.2","42816","42818"
"22751","0.15356690244753263","0.1108377999191426","0.24267788330980658","33070","33070","33070","0.6225708312858447","0.5174288079447453","0.7103480315205715","43070.4","43069","43071","0.8001511329840325","0.64057752375264","0.8511936416346024","43070.2","43069","43071"
"23001","0.1599788657030247","0.09223950828991298","0.24703341627425174","33323","33323","33323","0.6246409133514608","0.5233381982809396","0.7111810845241452","43323.4","43322","43324","0.8004108992111234","0.6369231838232873","0.8505615318600892","43323.2","43322","43324"
"23251","0.1524276184198261","0.10961920539919626","0.22955094297485243","33576","33576","33576","0.6284976494880354","0.5274468445748451","0.7129507824342066","43576.4","43575","43577","0.8014564719935068","0.6394470760672792","0.8499576077814041","43576.2","43575","43577"
"23501","0.15125999101899035","0.09388487039946022","0.2547985913075954","33829","33829","33829","0.6286479437166238","0.530582390517256","0.7136486398396504","43829.4","43828","43830","0.8010160256495105","0.6323342934653828","0.8501008249407184","43829.2","43828","43830"
"23751","0.15916022352956877","0.10295080233965744","0.27385106040558876","34082","34082","34082","0.6316416618898916","0.5333807392081534","0.7179412924343379","44082.4","44081","44083","0.8021965673366065","0.6344099673090305","0.8498891962877121","44082.2","44081","44083"
"24001","0.1674658158726512","0.0974233722491761","0.2426314952644244","34335","34335","34335","0.6352185841067322","0.5408400117500625","0.7219340512830928","44335.4","44334","44336","0.8030440415954423","0.6358972765394604","0.8497695123882083","44335.2","44334","44336"
"24251","0.1612351735490666","0.09477104988923943","0.2271741472861105","34588","34588","34588","0.6361973822153255","0.5451330281246266","0.7185147607300238","44588.4","44587","44589","0.8045561746277183","0.6473102768226726","0.8534889851205294","44588.2","44587","44589"
