"stage2/step","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"14001","0.5744714727458327","0.5071203277570964","0.6419263774139782","34216","34216","34216","0.2427879733682373","0.20700095281317493","0.29285490622915106","34215.2","34214","34216","0.6862925298812982","0.5992227257077829","0.7616262303398678","34216","34216","34216","0.5051774243276395","0.44238059557062775","0.5981001674936073","34215.2","34214","34216"
"14251","0.5690534679395813","0.48003030223936066","0.6383926208849939","34469","34469","34469","0.2392383119437192","0.1957715653698168","0.28335352435556654","34468.2","34467","34469","0.6865239342845036","0.6014462042048082","0.7616565832362804","34469","34469","34469","0.5086972721447995","0.4446140780474546","0.5976134948651712","34468.2","34467","34469"
"14501","0.5716212921651309","0.4895986454172487","0.642208687601805","34722","34722","34722","0.23671514278205996","0.16934095614406958","0.3128785559000936","34721.2","34720","34722","0.6859922481556924","0.6027156095226055","0.759085480806303","34722","34722","34722","0.5092250516393573","0.4432660563521658","0.5978042239179953","34721.2","34720","34722"
"14751","0.5771639696219245","0.5239624491575388","0.6392408690842304","34975","34975","34975","0.24334287484909578","0.1878075220966786","0.31098712318191585","34974.2","34973","34975","0.6882770600273932","0.6081106931717507","0.7632376101900357","34975","34975","34975","0.507836741382319","0.44043717001723887","0.5936420081392748","34974.2","34973","34975"
"15001","0.5628612040324528","0.4367537168897943","0.6382482526842833","35228","35228","35228","0.25207421558158216","0.18822894550023456","0.3158661200349827","35227.2","35226","35228","0.6896023082303793","0.6151047905516954","0.7573157667818732","35228","35228","35228","0.5017606063725152","0.440078423734141","0.5922577345917388","35227.2","35226","35228"
"15251","0.5593946871111865","0.39055772978937336","0.6395566322477487","35481","35481","35481","0.25184406641985135","0.1887048867305041","0.31325260696918433","35480.2","35479","35481","0.6903646135508762","0.6160309998417867","0.7641285823118258","35481","35481","35481","0.49879395526014847","0.4387941062227124","0.5964102126851224","35480.2","35479","35481"
"15501","0.562555106968685","0.39963670921829336","0.6385110044903543","35734","35734","35734","0.23859381958765885","0.0978130019528954","0.30568019013215647","35733.2","35732","35734","0.6905706984278106","0.6176849346590401","0.759399060816288","35734","35734","35734","0.5002542157312335","0.438800840407937","0.5882589096285511","35733.2","35732","35734"
"15751","0.5658114703825448","0.39649131804132126","0.6521050613674425","35987","35987","35987","0.2470216503364077","0.1778312058935236","0.3103368149426083","35986.2","35985","35987","0.6909717213735427","0.6231511956791713","0.7583674676966446","35987","35987","35987","0.5039816913496378","0.4402000054357715","0.6012133623742895","35986.2","35985","35987"
"16001","0.5659294033354196","0.41540592996871695","0.6483868996018803","36240","36240","36240","0.2519701066121486","0.1735821991804301","0.31045104660198564","36239.2","36238","36240","0.6897550521463283","0.6299046912160483","0.7604977201906858","36240","36240","36240","0.5030590768981978","0.44628222952184177","0.5999194818217763","36239.2","36238","36240"
"16251","0.5577879591117038","0.371369519369596","0.643785344923731","36493","36493","36493","0.25487067534643215","0.2006068091897339","0.33037376251202627","36492.2","36491","36493","0.687876564722546","0.617144271716963","0.7589124345485806","36493","36493","36493","0.5004193367521943","0.44297898965334737","0.592541209118932","36492.2","36491","36493"
