"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_spearman","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_spearman","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"12501","0.3082847203989919","0.2690866100490664","0.353241512962016","22697","22697","22697","0.49110893824645785","0.35520174862726406","0.5371853148269996","32697.4","32696","32698","0.7114072601954207","0.5544025910583663","0.8464265596282677","32697.2","32696","32698"
"12751","0.3016498438592227","0.2526513079508807","0.3860373753290033","22950","22950","22950","0.4987904184017785","0.3818702348117611","0.5343229351636818","32950.4","32949","32951","0.7126325401497786","0.5553225220340745","0.8439491065900864","32950.2","32949","32951"
"13001","0.28837261739739767","0.24849034466680786","0.3343229045315076","23203","23203","23203","0.5065347091933811","0.4190093238961001","0.5440811373106568","33203.4","33202","33204","0.7157699820632393","0.5609349605785103","0.8469516735307752","33203.2","33202","33204"
"13251","0.284029473670133","0.24223279457569333","0.3264610486285092","23456","23456","23456","0.5166646684795724","0.42905524998733435","0.5508577256903479","33456.4","33455","33457","0.7165303225758833","0.558265911542419","0.8468302719006828","33456.2","33455","33457"
"13501","0.2870397503812366","0.24924158116115244","0.33124921984481503","23709","23709","23709","0.5168890677038245","0.447166519384065","0.5535522847582934","33709.4","33708","33710","0.7174113821302077","0.5586131649421493","0.8483163322576356","33709.2","33708","33710"
"13751","0.26159505277423156","0.18084448829094818","0.31710685011252837","23962","23962","23962","0.5219313617079189","0.4624565952868854","0.5559075475238283","33962.4","33961","33963","0.7195439375291717","0.5606544057214549","0.8462848883922073","33962.2","33961","33963"
"14001","0.27411517274531805","0.2177233952196799","0.3625676360824267","24215","24215","24215","0.5253611978254031","0.46633248287697543","0.5648619438009617","34215.4","34214","34216","0.7234578735500153","0.5682393744483762","0.8487093263607637","34215.2","34214","34216"
"14251","0.2630190847850728","0.20759716079546803","0.3284454635355136","24468","24468","24468","0.5302340765163465","0.48445723529618323","0.5649789157911977","34468.4","34467","34469","0.7227107668572026","0.5663490439480978","0.8480559053821499","34468.2","34467","34469"
"14501","0.26487102757604125","0.19662792469886742","0.3222131912100949","24721","24721","24721","0.535384364849209","0.4962493623436813","0.5676593184905994","34721.4","34720","34722","0.726514300666842","0.5710340158285975","0.8491997951435625","34721.2","34720","34722"
"14751","0.27290239648855275","0.1887794016255731","0.3287720595528039","24974","24974","24974","0.5379582113700913","0.48759634829770226","0.5788435408915341","34974.4","34973","34975","0.7271847208425531","0.5705844780547759","0.8494758790991108","34974.2","34973","34975"
