"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_pearson","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"10001","0.28889762767358984","0.24013222178595334","0.33652139977141854","20167","20167","20167","0.4604541852348632","0.30992034677759805","0.6918620739299308","30167.4","30166","30168","0.8203692733533746","0.6790775673916845","0.9169670874707172","30167.2","30166","30168"
"10251","0.28295000850112817","0.2331857117542242","0.34061505069162096","20420","20420","20420","0.4670550875810521","0.30495344169056066","0.7092099201226059","30420.4","30419","30421","0.8249040509273324","0.6821286132428042","0.9241089237101345","30420.2","30419","30421"
"10501","0.2996515512230809","0.24715756220745355","0.34854297794550504","20673","20673","20673","0.47830736809608754","0.3135807313572763","0.7191609754285359","30673.4","30672","30674","0.82786916071098","0.684525785821498","0.9281695169172057","30673.2","30672","30674"
"10751","0.2815304395706856","0.24222962676948273","0.31023724309813766","20926","20926","20926","0.49003782116837974","0.314207174897101","0.7328299422260485","30926.4","30925","30927","0.8306583739212968","0.6814567922502235","0.9301377616338928","30926.2","30925","30927"
"11001","0.28083161599069123","0.20501180407667324","0.3846014070404834","21179","21179","21179","0.49722591268620786","0.3257089120090103","0.7447384250758206","31179.4","31178","31180","0.832339114899782","0.6800927523194864","0.9331576573054509","31179.2","31178","31180"
"11251","0.2890727888927117","0.2392686088370072","0.33193853877747115","21432","21432","21432","0.49048450181343456","0.319063863036755","0.6194416124445719","31432.4","31431","31433","0.833710795713268","0.6806313478077676","0.9342400236821682","31432.2","31431","31433"
"11501","0.28423941796577334","0.24006071542796628","0.32819135480057254","21685","21685","21685","0.4974299335001301","0.3258916205914388","0.6233869638080048","31685.4","31684","31686","0.8375317795877917","0.6817236345711875","0.9350166788315966","31685.2","31684","31686"
"11751","0.2779527362527721","0.25060337998511034","0.32402840218039364","21938","21938","21938","0.5070571855602559","0.3396577273985188","0.6354767850611569","31938.4","31937","31939","0.839531889191808","0.6829156372217797","0.9380844075884959","31938.2","31937","31939"
"12001","0.2764737242157696","0.21778121195818212","0.31436913793895976","22191","22191","22191","0.5167076912132099","0.3495793891692082","0.6422061639365728","32191.4","32190","32192","0.8425987572382143","0.6864112989052958","0.9308176993888846","32191.2","32190","32192"
"12251","0.26377114118208234","0.19805846249335718","0.30737609461447013","22444","22444","22444","0.5283029713910705","0.3541729679189472","0.6496178382470339","32444.4","32443","32445","0.8458282470359538","0.6889062195701832","0.9391473626362853","32444.2","32443","32445"
"12501","0.2590386906197121","0.18960770616920045","0.3009567795421827","22697","22697","22697","0.5383521641196369","0.36288063431604967","0.6563236439789881","32697.4","32696","32698","0.8442591563671435","0.6805087005235493","0.9387920722783987","32697.2","32696","32698"
"12751","0.2603354424654407","0.2200530062399053","0.3284968166848263","22950","22950","22950","0.5489231195243887","0.35789204900909716","0.6777149501636933","32950.4","32949","32951","0.8497375599871401","0.6898034973798656","0.9415817443311445","32950.2","32949","32951"
